key,en,zh-Hant,zh-Hans,ja,ko,es,fr,de,pt,vi,ar,ru
ui.app.resetPeriodOnRefresh,Reset Period on Refresh,刷新時重設週期,,,새로 고침 시 재설정,,,,,,,
ui.app.resetToBuildValue,Reset to build value,重設為配裝值,,,값 재설정,,,,,,,
ui.app.resetToCalculatedValue,Reset to calculated value,重設為計算值,,,계산값 재설정,,,,,,,
ui.app.resolveAtSkillStart,Resolve at skill start,在技能開始時決定,,,스킬 시작 시 해결,,,,,,,
ui.app.rotation,Rotation,循環,,,로테이션,,,,,,,
ui.app.rotationEditor,Rotation Editor,循環編輯器,,,로테이션 에디터,,,,,,,
ui.app.rotationImportError,The rotation file could not be imported.,無法匯入循環檔案。,,,로테이션 파일을 가져올 수 없습니다.,,,,,,,
ui.app.rotationNameRequired,Rotation name is required.,必須輸入循環名稱。,,,로테이션 이름을 입력해야 합니다.,,,,,,,
ui.app.rotations,Rotations,循環,,,로테이션,,,,,,,
ui.app.rotationsExported,Exported {count} rotations.,已匯出 {count} 個循環。,,,{count} 로테이션 내보내짐.,,,,,,,
ui.app.rotationsImported,Imported {count} rotations.,已匯入 {count} 個循環。,,,{count} 로테이션 가져와짐.,,,,,,,
ui.app.s,s,秒,,,초,,,,,,,
ui.app.save,Save,儲存,,,저장,,,,,,,
ui.app.saveCurrent,Save current,儲存目前項目,,,저장,,,,,,,
ui.app.savedForThisSession,Saved,已儲存,,,저장됨,,,,,,,
ui.app.script,Script,帖,,,첩,,,,,,,
ui.app.segmentValueNumber,Segment value {number},分段值 {number},,,분리값 {number},,,,,,,
ui.app.segmentValues,Segment values,分段值,,,분리값,,,,,,,
ui.app.selectASkill,Select a skill,選擇技能,,,스킬 선택,,,,,,,
ui.app.selectThisRotationAndSwitchToItsMartial,Select this rotation and switch to its martial arts,選擇此循環並切換至其武學,,,이 로테이션을 선택하고 해당 무술로 전환하세요,,,,,,,
ui.app.selfHp,Self HP,自身氣血,,,기혈,,,,,,,
ui.app.setFightStartHere,Set fight start here,將戰鬥起點設於此處,,,시작 지점 설정,,,,,,,
ui.app.settings,Settings,設定,,,설정,,,,,,,
ui.app.shortName,Short Name,簡稱,,,약칭,,,,,,,
ui.app.simulation,Simulation,模擬,,,시뮬레이션,,,,,,,
ui.app.singleName,Single name,單一名稱,,,단일 명칭,,,,,,,
ui.app.skill,Skill,技能,,,스킬,,,,,,,
ui.app.skillCategories,Skill categories,技能分類,,,스킬 카테고리,,,,,,,
ui.app.skillEditor,Skill Editor,技能編輯器,,,스킬 에디터,,,,,,,
ui.app.skillFallback,skill,技能,,,스킬,,,,,,,
ui.app.skillOrEvent,Skill or event,技能或事件,,,스킬 또는 이벤트,,,,,,,
ui.app.skillsBeforeTheStartUseARoundedPre,Skills before the start use a rounded pre-fight countdown in 0.5-second increments.,戰鬥開始前的技能使用以 0.5 秒為單位四捨五入的倒數時間。,,,시작 전 스킬은 0.5초 단위로 반올림된 전투 전 카운트다운을 사용합니다.,,,,,,,
ui.app.skillTypeBreakdown,Skill Type Breakdown,技能類型分析,,,스킬 타입별 분석,,,,,,,
ui.app.sLeft,{number}s left,剩餘{number}秒,,,{number}초 남음,,,,,,,
ui.app.stack,Stack,層數,,,스택,,,,,,,
ui.app.stackEffectCountNoun,effect,效果,,,효과,,,,,,,
ui.app.stackEffects,Stack Effects,層數效果,,,스택 효과,,,,,,,
ui.app.stackEffectsNumber,Stack {number} effects,第 {number} 層效果,,,{number} 스택 효과,,,,,,,
ui.app.startTime,Start Time,開始時間,,,시작시간,,,,,,,
ui.app.statsPriority,Stats Priority,屬性優先度,,,스탯 중요도,,,,,,,
ui.app.steps,steps ·,步驟・,,,스텝,,,,,,,
ui.app.sTotalTime,s total time,秒總時間,,,전체시간,,,,,,,
ui.app.tags,Tags,標籤,,,태그,,,,,,,
ui.app.target,Target,目標,,,목표,,,,,,,
ui.app.targetHp,Target HP,目標氣血,,,목표 기혈,,,,,,,
ui.app.targetHpPercentage,Target HP percentage,目標氣血百分比,,,목표 기혈 퍼센트,,,,,,,
ui.app.targetQiPercentage,Target Qi percentage,目標真氣百分比,,,목표 진기 퍼센트,,,,,,,
ui.app.thisIsAPrebuiltDefaultRotationAndCannot,This is a prebuilt default rotation and cannot be changed. Duplicate it to edit.,這是預建的預設循環，無法修改。請複製後再編輯。,,,이것은 미리 설정된 기본 로테이션 순서이며 변경할 수 없습니다. 편집하려면 이 항목을 복사하십시오.,,,,,,,
ui.app.thresholdNumber,Threshold {number},門檻 {number},,,임계값 {number},,,,,,,
ui.app.thresholds,Thresholds,門檻,,,임계값,,,,,,,
ui.app.throughputDeltaHeader,Δ {throughput},Δ {throughput},,,Δ {throughput},,,,,,,
ui.app.throughputPercentageHeader,% {throughput},% {throughput},,,% {throughput},,,,,,,
ui.app.time,Time,時間,,,시간,,,,,,,
ui.app.timeCoverage,Time Coverage,時間覆蓋率,,,,,,,,,,
ui.app.toggleNamedSkillActions,{action} {name} actions,{action}{name}的動作,,,{action}{name} 동작,,,,,,,
ui.app.total,Total,總計,,,합계,,,,,,,
ui.app.triggeredSkill,Triggered skill,觸發技能,,,트리거 스킬,,,,,,,
ui.app.triggers,Triggers,觸發,,,트리거,,,,,,,
ui.app.type,Type,類型,,,타입,,,,,,,
ui.app.unavailable,(unavailable),（不可用）,,,(사용 불가),,,,,,,
ui.app.unsavedChanges,Unsaved changes,未儲存的變更,,,저장되지 않은 변경 사항,,,,,,,
ui.app.upToDate,Up to date,已是最新,,,최신 업데이트,,,,,,,
ui.app.value,Value,數值,,,값,,,,,,,
ui.app.valueMode,Value mode,數值模式,,,값 모드,,,,,,,
ui.app.valuePerStack,Value per stack,每層數值,,,스택 별 값,,,,,,,
ui.app.valuesCommaSeparated,Values (comma separated),數值（以逗號分隔）,,,,,,,,,,
ui.app.weaponSet,Weapon Set,武器套裝,,,무기 세트,,,,,,,
ui.app.whereBuildsMeet,Where Builds Meet,Where Builds Meet,,,,,,,,,,
ui.app.wip,WIP,開發中,,,수정중,,,,,,,
ui.app.wrapped,wrapped,已換行,,,결산,,,,,,,
ui.app.yet,yet.,尚未。,,,아직,,,,,,,
ui.buildTab.activeBuild,Active build,使用中的配裝,,,활성화된 빌드,,,,,,,
ui.buildTab.activeBuildAction,Active,使用中,,,활성화,,,,,,,
ui.buildTab.add,Add,新增,,,추가,,,,,,,
ui.buildTab.addGear,Add gear,新增裝備,,,,,,,,,,
ui.buildTab.additionalAffixAvailabilityError,Choose additional affixes available for this gear.,請選擇此裝備可用的額外詞條。,,,이 장비에 사용할 수 있는 추가 조율 옵션들을 선택하세요.,,,,,,,
ui.buildTab.additionalAffixesOptional,Additional affixes (optional),額外詞條（選填）,,,추가 조율 옵션 (선택),,,,,,,
ui.buildTab.additionalAffixNumber,Additional affix {number},額外詞條 {number},,,추가 조율 옵션 {number},,,,,,,
ui.buildTab.addNamedGear,Add {name} gear,新增{name}裝備,,,{name}장비 추가,,,,,,,
ui.buildTab.affixes,Affixes,詞條,,,조율옵션,,,,,,,
ui.buildTab.affixTotal,{number} total,共 {number} 條,,,{number} 합계,,,,,,,
ui.buildTab.andLogIn,and log in.,並登入。,,,로그인,,,,,,,
ui.buildTab.armorSet,Armor Set,防具套裝,,,장비세트,,,,,,,
ui.buildTab.arsenal,Arsenal,武庫,,,무기고,,,,,,,
ui.buildTab.attunement,Attunement,定音,,,정음,,,,,,,
ui.buildTab.attunementAvailabilityError,Choose an attunement available for the current path.,請選擇目前流派可用的定音。,,,현재 유파에서 사용할 수 있는 정음을 선택하십시오.,,,,,,,
ui.buildTab.attunementOptional,Attunement (optional),定音（選填）,,,정음 (선택),,,,,,,
ui.buildTab.baseAffix,Base affix,基礎詞條,,,초기 조율 옵션,,,,,,,
ui.buildTab.baseAffixAvailabilityError,Choose a base affix available for this gear.,請選擇此裝備可用的基礎詞條。,,,이 장비에 사용할 수 있는 초기 조율 옵션을 선택하세요.,,,,,,,
ui.buildTab.baseAffixValueError,Choose a base affix and enter a non-negative value.,請選擇基礎詞條並輸入非負數值。,,,초기 조율 옵션을 선택하고 0 이상의 값을 입력하세요.,,,,,,,
ui.buildTab.bookmarkletCopyPrompt,"Copy this, then paste it into Where Builds Meet:",複製此內容，然後貼到 Where Builds Meet：,,,"이 내용을 복사한 다음, ‘Where Builds Meet’에 붙여넣으세요:",,,,,,,
ui.buildTab.bookmarkletCopySuccess,Complete role data copied. Paste it into Where Builds Meet.,完整角色資料已複製。請貼到 Where Builds Meet。,,,데이터 복사가 완료되었습니다. 이 데이터를 ‘Where Builds Meet’에 붙여넣으세요.,,,,,,,
ui.buildTab.bookmarkletDashboardUnreachable,Could not reach the dashboard.,無法連線到儀表板。,,,대시보드에 접속할 수 없습니다,,,,,,,
ui.buildTab.bookmarkletNoGearData,The dashboard returned no gear data.,儀表板未傳回裝備資料。,,,대시보드에서 장비 관련 데이터가 표시되지 않았습니다.,,,,,,,
ui.buildTab.bookmarkletNotLoggedIn,"Not logged in. Open the official dashboard, sign in, then run this bookmark again.",尚未登入。請開啟官方儀表板並登入，然後再次執行此書籤。,,,"“로그인하지 않았습니다. 공식 대시보드를 열고 로그인한 다음, 이 북마크를 다시 실행해 주세요.”",,,,,,,
ui.buildTab.bookmarkletUnreadableData,The dashboard returned unreadable data.,儀表板傳回無法讀取的資料。,,,대시보드에서 읽을 수 없는 데이터가 반환되었습니다.,,,,,,,
ui.buildTab.bowRingSet,Bow/Ring Set,弓／玦套裝,,,활/깍지 세트,,,,,,,
ui.buildTab.build,build,配裝,,,빌드,,,,,,,
ui.buildTab.buildCountNoun,builds,個配裝,,,빌드,,,,,,,
ui.buildTab.buildInnerWay,Build inner way {number},配裝心法{number},,,빌드 심법{number},,,,,,,
ui.buildTab.buildInnerWayTier,Build inner way {number} tier,配裝心法{number}重,,,빌드 심법{number}티어,,,,,,,
ui.buildTab.builds,Builds,配裝,,,빌드,,,,,,,
ui.buildTab.buildSetup,Build setup,配裝設定,,,빌드셋업,,,,,,,
ui.buildTab.cancel,Cancel,取消,,,취소,,,,,,,
ui.buildTab.chooseAnotherImage,Choose another image,選擇其他圖片,,,다른 이미지를 선택하세요,,,,,,,
ui.buildTab.chooseImage,Choose image,選擇圖片,,,이미지를 선택하세요,,,,,,,
ui.buildTab.clickTheSavedBookmarkItCopiesYourEquipped,Click the saved bookmark. It copies your equipped gear data without copying your login token.,點擊已儲存的書籤。它會複製已裝備的裝備資料，不會複製登入權杖。,,,"저장된 북마크를 클릭하세요. 그러면 로그인 토큰은 복사하지 않고, 장착된 장비 데이터만 복사됩니다.",,,,,,,
ui.buildTab.clipboardImageError,The clipboard does not contain an image. Copy a screenshot and paste again.,剪貼簿中沒有圖片。請複製螢幕截圖後再貼上。,,,클립보드에 이미지가 없습니다. 스크린샷을 복사한 후 다시 붙여넣어 주세요.,,,,,,,
ui.buildTab.close,Close,關閉,,,닫기,,,,,,,
ui.buildTab.closeOfficialImport,Close official import,關閉官方匯入,,,공식 대시보드 가져오기 종료,,,,,,,
ui.buildTab.confirmDelete,Confirm Delete,確認刪除,,,삭제 확정,,,,,,,
ui.buildTab.confirmDeleteGear,Confirm delete gear,確認刪除裝備,,,장비 삭제 확정,,,,,,,
ui.buildTab.copyOfNamedBuild,Copy of {name},{name} 副本,,,{name} 복제,,,,,,,
ui.buildTab.dashboardImportError,The pasted dashboard data could not be imported.,無法匯入貼上的儀表板資料。,,,붙여넣은 대시보드 데이터를 가져올 수 없습니다.,,,,,,,
ui.buildTab.dashboardValidationError,Some dashboard gear did not pass build validation and was not imported.,部分儀表板裝備未通過配裝驗證，因此未被匯入。,,,대시보드의 일부 장비가 손상되어 불러오지 못했습니다.,,,,,,,
ui.buildTab.defaultPreset,Default preset,預設範本,,,기본 프리셋,,,,,,,
ui.buildTab.delete,Delete,刪除,,,삭제,,,,,,,
ui.buildTab.deleteGear,Delete gear,刪除裝備,,,장비 삭제,,,,,,,
ui.buildTab.deleteNamedBuildConfirmation,Delete build “{name}”?,刪除配裝「{name}」？,,,“{name}”빌드를 삭제 하시겠습니까?,,,,,,,
ui.buildTab.drag,Drag,拖曳,,,드래그,,,,,,,
ui.buildTab.dropAScreenshotOrDirectlyPaste,Drop a screenshot or directly paste,拖放螢幕截圖或直接貼上,,,스크린샷을 올려주시거나 직접 붙여넣어 주세요,,,,,,,
ui.buildTab.duplicateAffixError,Additional affixes cannot be duplicated.,額外詞條不可重複。,,,추가 조율 옵션은 중복될 수 없습니다.,,,,,,,
ui.buildTab.edit,Edit,編輯,,,수정,,,,,,,
ui.buildTab.editBuildName,Edit build name,編輯配裝名稱,,,빌드 이름 수정,,,,,,,
ui.buildTab.equip,Equip,裝備,,,장착,,,,,,,
ui.buildTab.equippedGear,Equipped Gear,已裝備的裝備,,,장착된 장비,,,,,,,
ui.buildTab.equippedGearStatus,Equipped,已裝備,,,장착됨,,,,,,,
ui.buildTab.exampleIncludeTheRarityColorGearTypeTier,"Example: include the rarity color, gear type, tier, every affix, and attunement.",範例：需包含稀有度顏色、裝備類型、階級、所有詞條及調律。,,,"“예시: 희귀도 색상, 장비 유형, 티어, 모든 조율 옵션, 그리고 정음을 포함하세요.”",,,,,,,
ui.buildTab.exampleMoBladeGearDetailsScreenshot,Example Mo Blade gear details screenshot,陌刀裝備詳細資料螢幕截圖範例,,,맥도 상세 정보 스크린샷 예시,,,,,,,
ui.buildTab.export,Export,匯出,,,내보내기,,,,,,,
ui.buildTab.exportWwmGear,Export WWM Gear,匯出《燕雲十六聲》裝備,,,연운 장비 내보내기,,,,,,,
ui.buildTab.fromImage,from image,自圖片,,,이미지 에서,,,,,,,
ui.buildTab.gear,gear,裝備,,,장비,,,,,,,
ui.buildTab.graduatePreset,Graduate preset,畢業範本,,,졸업 프리셋,,,,,,,
ui.buildTab.imageImportError,The image could not be imported.,無法匯入圖片。,,,이미지를 가져올 수 없습니다.,,,,,,,
ui.buildTab.imageTooLargeError,The image is larger than 15 MB. Crop or resize it and try again.,圖片超過 15 MB。請裁切或縮小後再試一次。,,,이미지 크기가 15MB를 초과합니다. 이미지를 잘라내거나 크기를 조정한 후 다시 시도해 주세요.,,,,,,,
ui.buildTab.import,Import,匯入,,,불러오기,,,,,,,
ui.buildTab.importBuildsAndGear,Import builds and gear,匯入配裝及裝備,,,장비 및 빌드 불러오기,,,,,,,
ui.buildTab.importEquippedGear,Import equipped gear,匯入已裝備的裝備,,,장착된 장비 불러오기,,,,,,,
ui.buildTab.importFromImage,Import from Image,從圖片匯入,,,이미지에서 불러오기,,,,,,,
ui.buildTab.importFromOfficial,Import from Official,從官方網站匯入,,,공식에서 불러오기,,,,,,,
ui.buildTab.importGear,Import Gear,匯入裝備,,,장비 불러오기,,,,,,,
ui.buildTab.innerWays,Inner Ways,心法,,,심법,,,,,,,
ui.buildTab.inventoryEditsAndDeletionsApplyToEveryBuild,inventory. Edits and deletions apply to every build.,共用裝備庫。編輯及刪除會套用至所有配裝。,,,인벤토리. 수정 및 삭제 사항은 모든 빌드에 적용됩니다.,,,,,,,
ui.buildTab.level,Level,等級,,,레벨,,,,,,,
ui.buildTab.loadingOcrModel,Loading OCR model,正在載入文字辨識模型,,,OCR 로딩 중,,,,,,,
ui.buildTab.makeActive,Make Active,設為使用中,,,활성화하기,,,,,,,
ui.buildTab.max,Max,最大值,,,최대,,,,,,,
ui.buildTab.namedType,{name} type,{name}類型,,,{name} 타입,,,,,,,
ui.buildTab.namedValue,{name} value,{name}數值,,,{name} 값,,,,,,,
ui.buildTab.newBuild,New Build,新配裝,,,새로운 빌드,,,,,,,
ui.buildTab.noAffixes,No affixes,沒有詞條,,,새로운 조율옵션,,,,,,,
ui.buildTab.noBuildsMatchTheSelectedMartialArts,No builds match the selected martial arts.,沒有符合所選武學的配裝。,,,선택한 무술과 일치하는 빌드가 없습니다.,,,,,,,
ui.buildTab.noGearEquipped,No gear equipped,未裝備任何裝備,,,장착된 장비가 없습니다,,,,,,,
ui.buildTab.none,None,無,,,없음,,,,,,,
ui.buildTab.officialDashboard,Official Dashboard,官方儀表板,,,공식 대시보드,,,,,,,
ui.buildTab.officialDashboardGearJson,Official dashboard gear JSON,官方儀表板裝備 JSON,,,공식 대시보드 장비 JSON,,,,,,,
ui.buildTab.officialWhereWindsMeetDashboard,official Where Winds Meet dashboard,《燕雲十六聲》官方儀表板,,,공식 연운 대시보드,,,,,,,
ui.buildTab.openThe,Open the,開啟,,,열기,,,,,,,
ui.buildTab.optionalAttributeError,Complete or clear each optional attribute.,請填完整或清除每個選填屬性。,,,각 선택적 속성을 입력하거나 비워 두십시오.,,,,,,,
ui.buildTab.pasteTheCopiedDashboardJsonHere,Paste the copied dashboard JSON here,在此貼上已複製的儀表板 JSON,,,복사한 대시보드 JSON을 여기에 붙여넣으세요,,,,,,,
ui.buildTab.percentageValuesAreEnteredAsPercentagePoints,Percentage values are entered as percentage points.,百分比數值請以百分點輸入。,,,퍼센트 값은 백분율 포인트 단위로 입력합니다.,,,,,,,
ui.buildTab.physicalAttack,Physical Attack,外功攻擊,,,외공공격,,,,,,,
ui.buildTab.pressCtrlVOrUsePngJpegOr,"Press Ctrl+V, or use PNG, JPEG, or WebP; up to 15 MB",按 Ctrl+V，或使用 PNG、JPEG 或 WebP；上限 15 MB,,,"“Ctrl+V를 누르거나 PNG, JPEG, WebP 파일을 사용하세요. 최대 15MB까지 가능합니다.”",,,,,,,
ui.buildTab.rarity,Rarity,稀有度,,,희귀도,,,,,,,
ui.buildTab.relayedGear,Relayed gear,調律裝備,,,승음 장비,,,,,,,
ui.buildTab.relayedOptionLabel,Relayed,已調律,,,승음,,,,,,,
ui.buildTab.removeNamedBuild,Remove {name},移除{name},,,{name}제거,,,,,,,
ui.buildTab.returnHereAndPasteTheCopiedJsonBelow,Return here and paste the copied JSON below.,返回此處並在下方貼上已複製的 JSON。,,,이곳으로 돌아와서 복사한 JSON을 아래에 붙여넣으세요.,,,,,,,
ui.buildTab.save,Save,儲存,,,저장,,,,,,,
ui.buildTab.saveChanges,Save Changes,儲存變更,,,변경점 저장,,,,,,,
ui.buildTab.selectAnAttribute,Select an attribute,選擇屬性,,,속성을 선택하세요,,,,,,,
ui.buildTab.selectASlotToEquipGearFromThe,Select a slot to equip gear from the shared inventory.,選擇欄位，以從共用裝備庫中裝備物品。,,,공유 인벤토리에서 장비를 장착할 슬롯을 선택하세요.,,,,,,,
ui.buildTab.selectedGearScreenshot,Selected gear screenshot,已選擇的裝備螢幕截圖,,,선택된 장비 스크린샷,,,,,,,
ui.buildTab.selectThisBuildAndSwitchToItsMartial,Select this build and switch to its martial arts,選擇此配裝並切換至其武學,,,이 빌드를 선택하고 해당 무술로 전환하세요,,,,,,,
ui.buildTab.shared,Shared,共用,,,공유,,,,,,,
ui.buildTab.theBookmarkRunsOnlyOnTheOfficialDashboard,The bookmark runs only on the official dashboard. Where Builds Meet receives only the JSON you paste here.,此書籤只會在官方儀表板上執行。Where Builds Meet 只會收到你在此貼上的 JSON。,,,이 북마크는 공식 대시보드에서만 실행됩니다. ‘Where Builds Meet’는 사용자가 여기에 붙여넣은 JSON만 불러옵니다.,,,,,,,
ui.buildTab.thisDefaultBuildUsesFixedPresetGearUse,This default build uses fixed preset gear. Use New Build to create your own build.,此預設配裝使用固定的範本裝備。請使用「新配裝」建立自己的配裝。,,,이 기본 빌드는 고정된 프리셋 장비를 사용합니다. ‘새 빌드’를 생성해서 나만의 빌드를 생성하세요.,,,,,,,
ui.buildTab.toYourBrowserBookmarksBar,to your browser bookmarks bar.,至瀏覽器書籤列。,,,브라우저의 북마크 바에 추가하세요.,,,,,,,
ui.buildTab.useAClearUncroppedGearDetailsScreenshotRecognition,"Use a clear, uncropped gear details screenshot. Recognition runs locally in your browser.",請使用清晰且未裁切的裝備詳細資料螢幕截圖。辨識會在你的瀏覽器本機執行。,,,“선명하고 잘리지 않은 기어 세부 정보 스크린샷을 사용해 주세요. 인식 처리는 브라우저 내에서 로컬로 수행됩니다.”,,,,,,,
ui.buildTab.usedIn,Used in,用於,,,사용하다,,,,,,,
ui.buildTab.value,Value,數值,,,값,,,,,,,
ui.buildTab.weaponSet,Weapon Set,武器套裝,,,무기세트,,,,,,,
ui.simulationTab.activeBuild,Active build,使用中的配裝,,,빌드 활성화,,,,,,,
ui.simulationTab.activeRotation,Active rotation,使用中的循環,,,로테이션 활성화,,,,,,,
ui.simulationTab.add,Add,新增,,,추가,,,,,,,
ui.simulationTab.addPercentile,Add Percentile,新增百分位數,,,백분위수 추가,,,,,,,
ui.simulationTab.best,Best,最佳,,,베스트,,,,,,,
ui.simulationTab.build,· Build:,・配裝：,,,빌드:,,,,,,,
ui.simulationTab.cancel,Cancel,取消,,,캔슬,,,,,,,
ui.simulationTab.current,Current,目前,,,현재,,,,,,,
ui.simulationTab.customPercentiles,Custom percentiles,自訂百分位數,,,커스텀 백분위수,,,,,,,
ui.simulationTab.deleteResult,Delete simulation result,刪除此模擬結果,,,시뮬레이션 값 제거,,,,,,,
ui.simulationTab.invalidCountError,Simulation count must be a positive whole number.,模擬次數必須是正整數。,,,시뮬레이션 횟수는 양의 정수여야 합니다.,,,,,,,
ui.simulationTab.median,Median,中位數,,,중앙값,,,,,,,
ui.simulationTab.outdated,Outdated,已過期,,,구식,,,,,,,
ui.simulationTab.p,P,P,,,,,,,,,,
ui.simulationTab.percentileDuplicateError,P{percentile} has already been added.,已新增 P{percentile}。,,,P{percentile}는 이미 추가되었습니다.,,,,,,,
ui.simulationTab.percentilePresetError,P{percentile} is already a preset result.,P{percentile} 已是預設結果。,,,P{percentile}은 이미 미리 설정된 결과입니다.,,,,,,,
ui.simulationTab.percentileRangeError,"Enter a percentile from 0 up to, but not including, 100.",請輸入大於或等於 0 且小於 100 的百分位數。,,,“0부터 100 미만(100은 포함하지 않음)까지의 백분위수를 입력하세요.”,,,,,,,
ui.simulationTab.progressRunsPrefix,runs (,次（,,,시작 (,,,,,,,
ui.simulationTab.removePercentile,Remove P{percentile},移除 P{percentile},,,P{percentile}제거,,,,,,,
ui.simulationTab.result,Result,結果,,,결과,,,,,,,
ui.simulationTab.rotation,Rotation:,循環：,,,로테이션,,,,,,,
ui.simulationTab.rotationPreparingError,The active rotation is still being prepared.,使用中的循環仍在準備中。,,,활성화된 로테이션은 아직 준비 중입니다.,,,,,,,
ui.simulationTab.runs,runs ·,次・,,,시작,,,,,,,
ui.simulationTab.s,s,秒,,,초,,,,,,,
ui.simulationTab.simulate,Simulate,開始模擬,,,시뮬레이션,,,,,,,
ui.simulationTab.simulationCount,Simulation count,模擬次數,,,시뮬레이션 수,,,,,,,
ui.simulationTab.simulationPercentileResults,Simulation percentile results,模擬百分位數結果,,,시뮬레이션 백분위수 결과,,,,,,,
